order_item_id,order_id,user_id,shop_id,sku_id,item_qty,sku_price,item_amount
1,1,1,171,5,2,87,174
2,1,1,171,41,3,1571,4713
3,1,1,171,3,2,115,230
4,2,230,138,130,2,144,288
5,2,230,138,1855,1,4108,4108
6,2,230,138,62,1,229,229
7,2,230,138,38,2,47,94
8,2,230,138,1084,3,93,279
9,2,230,138,8,3,50,150
10,3,7,121,36,2,1195,2390
11,3,7,121,127,2,1155,2310
12,4,195,197,547,2,1078,2156
13,4,195,197,394,3,1288,3864
14,4,195,197,4,2,298,596
15,4,195,197,687,3,140,420
16,4,195,197,726,3,69,207
17,4,195,197,60,3,583,1749
18,4,195,197,34,2,3245,6490
19,5,2,4,1,1,798,798
20,5,2,4,347,2,86,172
21,5,2,4,23,3,315,945
22,5,2,4,271,3,175,525
23,5,2,4,37,1,723,723
24,5,2,4,14,3,777,2331
25,6,84,42,109,3,40,120
26,6,84,42,15,2,4919,9838
27,6,84,42,22,3,3651,10953
28,6,84,42,128,3,251,753
29,6,84,42,10,3,193,579
30,6,84,42,1,1,798,798
31,6,84,42,625,2,743,1486
32,7,90,45,92,1,122,122
33,7,90,45,1,1,798,798
34,7,90,45,14,1,777,777
35,7,90,45,2,3,117,351
36,7,90,45,3,2,115,230
37,8,16,142,8,1,50,50
38,8,16,142,83,1,402,402
39,8,16,142,26,2,782,1564
40,8,16,142,37,3,723,2169
41,8,16,142,218,1,471,471
42,8,16,142,2,1,117,117
43,8,16,142,9,1,683,683
44,9,868,130,1673,3,503,1509
45,9,868,130,119,3,1030,3090
46,9,868,130,1,3,798,2394
47,9,868,130,362,2,102,204
48,9,868,130,69,1,578,578
49,9,868,130,20,3,498,1494
50,9,868,130,191,2,69,138
51,10,16,108,22,2,3651,7302
52,11,36,40,237,1,820,820
53,11,36,40,16,2,656,1312
54,11,36,40,69,1,578,578
55,11,36,40,844,1,988,988
56,11,36,40,20,2,498,996
57,11,36,40,77,2,1916,3832
58,12,1,181,933,1,147,147
59,13,3,169,288,1,19,19
60,13,3,169,26,3,782,2346
61,13,3,169,656,2,179,358
62,13,3,169,7,3,540,1620
63,13,3,169,11,3,1209,3627
64,14,40,141,2,2,117,234
65,14,40,141,28,2,181,362
66,14,40,141,15,2,4919,9838
67,14,40,141,561,3,75,225
68,14,40,141,443,3,650,1950
69,14,40,141,1348,2,606,1212
70,14,40,141,964,3,3461,10383
71,15,49,185,2,3,117,351
72,15,49,185,393,1,85,85
73,16,957,57,20,1,498,498
74,16,957,57,632,2,2133,4266
75,16,957,57,15,1,4919,4919
76,16,957,57,160,2,68,136
77,17,6,155,58,2,92,184
78,17,6,155,37,3,723,2169
