user_id,register_time,city
1,2025-06-30 18:15:38.635875,beijing
2,2024-07-30 18:15:38.635875,shanghai
3,2024-11-13 18:15:38.635875,shanghai
4,2025-07-19 18:15:38.635875,chengdu
5,2023-01-24 18:15:38.635875,beijing
6,2023-10-03 18:15:38.635875,beijing
7,2025-12-14 18:15:38.635875,beijing
8,2024-11-23 18:15:38.635875,shanghai
9,2023-04-16 18:15:38.635875,hangzhou
10,2025-12-21 18:15:38.635875,hangzhou
11,2025-01-02 18:15:38.635875,chengdu
12,2023-01-24 18:15:38.635875,shenzhen
13,2024-11-19 18:15:38.635875,shenzhen
14,2024-07-24 18:15:38.635875,beijing
15,2025-03-24 18:15:38.635875,chengdu
16,2023-10-02 18:15:38.635875,guangzhou
17,2024-07-24 18:15:38.635875,shanghai
18,2024-11-30 18:15:38.635875,guangzhou
19,2025-07-19 18:15:38.635875,beijing
20,2023-12-28 18:15:38.635875,beijing
21,2024-02-09 18:15:38.635875,guangzhou
22,2024-08-21 18:15:38.635875,beijing
23,2023-07-19 18:15:38.635875,hangzhou
24,2025-06-03 18:15:38.635875,shenzhen
25,2025-09-05 18:15:38.635875,hangzhou
26,2024-06-23 18:15:38.635875,chengdu
27,2024-02-04 18:15:38.635875,hangzhou
28,2025-01-16 18:15:38.635875,chengdu
29,2025-09-24 18:15:38.635875,beijing
30,2024-11-04 18:15:38.635875,guangzhou
31,2025-09-03 18:15:38.635875,shanghai
32,2025-07-22 18:15:38.635875,shenzhen
33,2024-07-24 18:15:38.635875,shenzhen
34,2024-01-28 18:15:38.635875,shanghai
35,2024-01-17 18:15:38.635875,guangzhou
36,2024-12-11 18:15:38.635875,chengdu
37,2024-08-16 18:15:38.635875,chengdu
38,2025-09-20 18:15:38.635875,hangzhou
39,2025-02-28 18:15:38.635875,hangzhou
40,2024-09-30 18:15:38.635875,shanghai
41,2023-07-13 18:15:38.635875,shenzhen
42,2024-08-10 18:15:38.635875,chengdu
43,2022-12-31 18:15:38.635875,shanghai
44,2024-04-20 18:15:38.635875,beijing
45,2024-11-01 18:15:38.635875,beijing
46,2024-05-08 18:15:38.635875,shenzhen
47,2024-08-14 18:15:38.635875,beijing
48,2024-12-08 18:15:38.635875,hangzhou
49,2024-05-10 18:15:38.635875,shanghai
50,2023-04-28 18:15:38.635875,shenzhen
51,2023-07-20 18:15:38.635875,shanghai
52,2024-08-20 18:15:38.635875,shanghai
53,2024-09-26 18:15:38.635875,chengdu
54,2022-12-22 18:15:38.635875,hangzhou
55,2024-08-24 18:15:38.635875,chengdu
56,2022-11-04 18:15:38.635875,shenzhen
57,2022-11-06 18:15:38.635875,shenzhen
58,2024-02-03 18:15:38.635875,shanghai
59,2025-05-06 18:15:38.635875,hangzhou
60,2023-05-10 18:15:38.635875,beijing
61,2025-11-09 18:15:38.635875,beijing
62,2025-04-06 18:15:38.635875,chengdu
63,2025-03-23 18:15:38.635875,chengdu
64,2023-10-03 18:15:38.635875,hangzhou
65,2025-10-06 18:15:38.635875,shenzhen
66,2023-12-25 18:15:38.635875,hangzhou
67,2023-07-01 18:15:38.635875,hangzhou
68,2024-09-17 18:15:38.635875,hangzhou
69,2026-01-21 18:15:38.635875,chengdu
70,2025-06-24 18:15:38.635875,chengdu
71,2023-02-10 18:15:38.635875,guangzhou
72,2024-03-19 18:15:38.635875,beijing
73,2024-06-22 18:15:38.635875,shenzhen
74,2025-03-27 18:15:38.635875,shenzhen
75,2026-02-07 18:15:38.635875,chengdu
76,2024-08-23 18:15:38.635875,hangzhou
77,2025-02-13 18:15:38.635875,hangzhou
78,2025-07-11 18:15:38.635875,chengdu
79,2024-06-12 18:15:38.635875,chengdu
80,2023-04-11 18:15:38.635875,hangzhou
81,2025-01-02 18:15:38.635875,shanghai
82,2024-01-10 18:15:38.635875,shanghai
83,2023-02-05 18:15:38.635875,hangzhou
