shop_id,shop_type,shop_weight
1,S,1.0631311501429221
2,S,0.9513101379413751
3,S,1.1960703506473227
4,S,1.0225695382577653
5,M,2.8337113917871504
6,S,0.7828840923557235
7,S,0.872131113744848
8,S,0.7489035743855064
9,S,1.2899486503678497
10,S,1.079577859706169
11,M,3.719770442872109
12,M,2.1279220528914604
13,S,0.858025673473669
14,S,1.2580750993036935
15,M,2.3275163126366274
16,S,0.9588519186851299
17,S,1.293960090307957
18,S,1.220127993208064
19,M,3.7276687067765413
20,S,0.9413905040782482
21,S,1.12719010692861
22,S,1.2384557924779456
23,M,3.164660403845931
24,S,1.2964804622032324
25,S,1.1432490538987086
26,S,0.9693372051895002
27,S,0.9698522287936395
28,M,2.620724054901213
29,S,0.7807633239035746
30,S,1.1595734279881036
31,M,3.7859186032181467
32,S,1.2373595029463638
33,S,0.9219243452276605
34,S,0.9276247485895612
35,S,1.0052003147715323
36,S,1.2668608595714255
37,S,0.8784091196654444
38,S,1.0384788029686107
39,M,3.1436907717198888
40,M,2.8680411540974893
41,S,0.8911469806312033
42,S,0.78591793645293
43,M,3.4223263471446295
44,L,6.611267307896767
45,S,1.0450826937537658
46,S,0.7596799210340333
47,S,0.7711306465618751
48,S,0.9633500466807187
49,M,2.6192618779135404
50,M,3.8798500336044004
51,M,3.764128534622596
52,S,0.7846018750785708
53,S,1.203273997494719
54,M,2.149230224468594
55,M,3.827742065512836
56,S,1.1793952011844486
57,S,1.1995026967930713
58,S,0.8218845633350499
59,M,3.128097292540257
60,M,3.037609011136902
61,M,2.630894846114452
62,S,1.1237933199965222
63,M,2.8999291136859617
64,S,0.8578339193174115
65,M,3.88753905073714
66,M,2.309632752412492
67,S,0.7474402475846299
68,M,3.409250862403442
69,S,1.0042361036032608
70,S,1.0783743652799207
71,S,1.1662273425195595
72,M,2.6666578650928323
73,M,2.880079723751469
74,M,3.5295553187901842
75,S,1.2048586244501334
76,S,1.2265441192362343
77,S,1.0806982932714448
78,S,0.7821248036012501
79,S,1.2658974210331269
80,S,0.8591716280733737
81,S,1.1883213111181774
82,M,2.608679412582706
83,S,1.2255183685811386
84,L,9.71435262167276
85,M,2.1057558788491324
86,S,1.0346422967816167
87,S,0.8068690152711244
88,S,0.8578442884089568
89,S,1.050339373505335
90,S,0.9905398377647747
91,S,0.8080386007333829
92,S,0.8391360023992019
93,S,0.9910359702567247
94,M,2.8059781005689186
95,S,0.9885754315350228
96,S,0.7674204526674103
97,M,3.4589299825957855
98,S,1.2816172858201247
99,S,1.0974509138980446
100,S,0.9788415593936242
101,S,0.7681217760484452
102,S,1.1228912806275093
103,M,2.970729721428584
104,M,2.9805138802670372
105,S,0.8409160242779368
106,S,1.0044924417813397
107,M,3.5090902100221104
108,S,1.1630791946792245
109,S,0.8905710149313318
110,S,0.9651709277564253
111,S,1.2474212380705776
112,S,1.136912108446426
113,S,1.191114750708469
114,S,0.9458869258521945
115,S,0.7999210858464826
116,S,1.0751719032689135
117,M,3.203947148467246
118,S,1.0629767233420937
119,S,1.1333372325649158
120,M,2.262454879319521
121,M,3.7420114162181397
122,M,3.095209542767976
123,S,1.0111893991103622
124,S,0.8190638884241161
125,S,1.0214192870059293
126,M,2.512802042978536
127,M,3.7391768043710583
128,S,0.8293690586967073
129,M,3.792024833146882
130,S,0.7120170239588102
131,M,2.2845373146437016
132,S,0.9909399675232998
133,S,0.8808798612247899
134,S,1.1634469808104784
135,S,0.8634749475862773
136,S,1.1704321669542344
137,S,0.778715913675558
138,M,2.5859975900618033
139,S,0.7443341456555261
140,M,3.472294785967095
141,S,0.7088450703441439
142,M,3.1887693498593137
143,S,1.1415240388580967
144,M,2.449711344366141
145,S,0.8873138224397826
146,S,1.0074133787012847
147,S,0.8644298439871027
148,S,0.8585619731363462
149,S,0.982840211882803
150,S,0.7558374370139224
151,L,8.292782042451783
152,S,1.2445994542667842
153,S,0.8467684226441755
154,S,0.9982209342459922
155,S,0.9236426000119762
156,S,0.7649825771999523
157,S,1.285114356986695
158,S,0.8392693286258813
159,S,1.0378919606310804
160,S,0.8994612849225307
161,M,3.85647136979209
162,S,0.8015534276113591
163,M,2.98166063180668
164,S,0.7847983393215913
165,S,0.9841087945851936
166,M,3.119950569935492
167,S,1.1604450873736338
168,S,0.8868729743682344
169,S,0.7903671847425835
170,S,1.0391874161305878
171,S,0.7033430618113795
172,S,1.1530227581966348
173,M,3.0820597238813923
174,S,1.0912051747846871
175,S,1.1253209031358198
176,S,1.215191746084474
177,L,5.9908846826993365
178,S,1.1195533383377094
179,S,1.1541320235146189
180,S,1.1488892575568452
181,S,0.962560755922269
182,L,5.787497349459033
183,S,0.8024332521535377
184,M,2.9769480783623283
185,M,3.0847530897905315
186,S,0.8780506139289584
187,S,0.8765341939923599
188,M,3.3180296874641906
189,S,1.069060292346232
190,S,1.0901324294475272
191,S,1.0139507443533415
192,S,1.0683998925328047
193,M,3.034883611560851
194,S,0.977728099572437
195,M,3.7687432687295646
196,M,3.634313114509843
197,S,1.014627072431511
198,M,2.1176781354236485
199,S,0.790209445970476
200,S,1.2861856803548444
