sku_id,category,sku_price
1,beauty,798
2,food,117
3,food,115
4,beauty,298
5,food,87
6,beauty,1443
7,clothes,540
8,food,50
9,home,683
10,food,193
11,home,1209
12,clothes,383
13,home,604
14,home,777
15,electronics,4919
16,clothes,656
17,beauty,388
18,beauty,75
19,home,1961
20,clothes,498
21,food,182
22,electronics,3651
23,home,315
24,food,66
25,food,173
26,clothes,782
27,home,1646
28,home,181
29,home,1254
30,home,1222
31,home,1124
32,beauty,1436
33,home,1143
34,electronics,3245
35,beauty,1236
36,electronics,1195
37,clothes,723
38,food,47
39,beauty,110
40,beauty,1341
41,home,1571
42,food,115
43,electronics,386
44,electronics,2419
45,clothes,572
46,beauty,1162
47,beauty,1428
48,beauty,472
49,home,796
50,home,978
51,beauty,1434
52,beauty,328
53,food,11
54,home,244
55,food,111
56,electronics,1250
57,clothes,406
58,food,92
59,home,1636
60,clothes,583
61,home,743
62,home,229
63,home,1508
64,home,683
65,electronics,2759
66,electronics,1242
67,electronics,3110
68,electronics,1646
69,clothes,578
70,clothes,615
71,clothes,388
72,beauty,893
73,home,504
74,home,1319
75,clothes,240
76,home,840
77,electronics,1916
78,home,1242
79,home,826
80,electronics,2059
81,clothes,335
82,electronics,1133
83,beauty,402
84,food,88
85,clothes,518
86,electronics,2449
87,home,1110
88,food,157
89,home,1281
90,home,1232
91,electronics,3150
92,food,122
93,beauty,373
94,food,162
95,beauty,193
96,clothes,370
97,electronics,2254
98,food,34
99,clothes,432
100,clothes,573
101,home,886
102,beauty,302
103,beauty,805
104,home,410
105,home,1331
106,beauty,1440
107,clothes,618
108,clothes,551
109,food,40
110,clothes,372
111,home,1298
112,electronics,3241
113,electronics,4269
114,clothes,249
115,home,1180
116,beauty,1357
117,home,867
118,home,881
119,home,1030
120,clothes,134
121,beauty,83
122,clothes,349
123,electronics,2551
124,clothes,600
125,food,48
126,home,1188
127,home,1155
128,beauty,251
129,beauty,253
130,food,144
131,food,143
132,electronics,3915
133,beauty,467
134,home,239
135,clothes,354
136,electronics,3984
137,food,94
138,electronics,3896
139,electronics,2241
140,clothes,652
141,food,186
142,beauty,1315
143,home,369
144,beauty,305
145,clothes,261
146,electronics,4970
147,food,141
148,food,157
149,beauty,364
150,food,185
151,food,79
152,beauty,567
153,beauty,1411
154,electronics,1410
155,home,1911
156,electronics,2571
157,clothes,768
158,clothes,305
159,clothes,778
160,food,68
161,home,1032
162,clothes,641
163,food,165
164,home,798
165,home,184
166,electronics,3600
167,beauty,589
168,food,121
169,home,700
170,beauty,25
171,electronics,4055
172,food,21
173,beauty,834
174,clothes,489
175,clothes,556
176,food,87
177,food,91
178,beauty,1203
179,clothes,629
180,home,1644
181,food,179
182,electronics,676
183,electronics,4064
184,electronics,1317
185,clothes,501
186,home,31
187,home,444
188,clothes,715
189,food,45
190,food,28
191,food,69
192,electronics,3346
193,clothes,103
194,home,1311
195,food,190
196,clothes,489
197,electronics,1079
198,electronics,2048
199,home,189
200,clothes,657
201,clothes,581
202,home,49
203,electronics,3114
204,electronics,3759
205,clothes,539
206,electronics,2175
207,home,212
208,electronics,1145
209,food,99
210,food,40
211,home,1614
212,clothes,706
213,clothes,120
214,beauty,1173
215,electronics,1644
216,home,749
217,clothes,693
218,clothes,471
219,beauty,1426
220,home,1791
221,clothes,138
222,electronics,1446
223,electronics,3445
224,food,114
225,food,40
226,clothes,333
227,electronics,2332
228,beauty,1250
229,beauty,1496
230,beauty,603
231,electronics,2771
232,clothes,580
233,beauty,1063
234,clothes,451
235,food,170
236,electronics,2260
237,home,820
238,electronics,2274
239,home,1336
240,beauty,165
241,beauty,44
242,food,86
243,clothes,446
244,beauty,881
245,food,144
246,clothes,532
247,electronics,436
248,beauty,158
249,electronics,2447
250,clothes,90
251,electronics,3560
252,beauty,606
253,beauty,870
254,home,1467
255,home,198
256,beauty,1121
257,beauty,332
258,food,26
259,food,25
260,beauty,436
261,clothes,599
262,food,105
263,beauty,1319
264,electronics,2840
265,home,1524
266,clothes,109
267,clothes,138
268,home,267
269,home,1283
270,beauty,132
271,food,175
272,clothes,172
273,electronics,1424
274,electronics,1642
275,home,1981
276,food,138
277,beauty,1496
278,food,47
279,food,37
280,food,192
281,electronics,540
282,food,114
283,food,139
284,electronics,2454
285,beauty,1305
286,electronics,4364
287,home,1076
288,food,19
289,home,1789
290,beauty,361
291,food,45
292,food,31
293,beauty,1400
294,electronics,2171
295,beauty,25
296,electronics,400
297,clothes,97
298,home,775
299,home,1914
300,clothes,233
301,electronics,4829
302,home,489
303,food,68
304,home,1905
305,food,74
306,electronics,4982
307,food,35
308,beauty,1398
309,electronics,1769
310,clothes,578
311,electronics,3584
312,electronics,4110
313,food,84
314,food,27
315,beauty,955
316,electronics,3322
317,clothes,348
318,beauty,642
319,beauty,516
320,home,784
321,beauty,1030
322,clothes,800
323,beauty,522
324,clothes,56
325,home,78
326,clothes,604
327,food,167
328,electronics,3044
329,electronics,3382
330,food,31
331,clothes,592
332,clothes,479
333,home,1998
334,electronics,1466
335,food,28
336,electronics,2196
337,beauty,865
338,food,122
339,electronics,1082
340,beauty,293
341,home,183
342,beauty,1182
343,electronics,3863
344,clothes,292
345,food,71
346,food,105
347,food,86
348,home,586
349,clothes,126
350,clothes,189
351,beauty,243
352,clothes,158
353,clothes,510
354,home,673
355,home,277
356,beauty,753
357,clothes,512
358,food,123
359,food,35
360,electronics,1591
361,food,185
362,beauty,102
363,clothes,385
364,clothes,143
365,clothes,414
366,home,1081
367,electronics,2748
368,food,49
369,electronics,3612
370,home,1168
371,beauty,531
372,electronics,4085
373,electronics,1445
374,electronics,397
375,electronics,2120
376,clothes,252
377,home,792
378,electronics,2420
379,electronics,478
380,electronics,1919
381,home,1687
382,clothes,144
383,food,36
384,electronics,4076
385,electronics,1676
386,beauty,907
387,home,1046
388,electronics,3435
389,home,383
390,food,59
391,clothes,331
392,food,119
393,clothes,85
394,beauty,1288
395,beauty,523
396,food,132
397,home,1837
398,beauty,1001
399,electronics,1018
400,food,103
401,clothes,479
402,clothes,708
403,beauty,530
404,beauty,59
405,home,1631
406,food,127
407,beauty,1012
408,food,149
409,beauty,678
410,home,583
411,clothes,76
412,food,157
413,clothes,80
414,food,19
415,home,1114
416,food,154
417,clothes,213
418,electronics,2330
419,clothes,322
420,beauty,134
421,clothes,639
422,home,756
423,clothes,230
424,clothes,656
425,food,193
426,food,156
427,electronics,3180
428,beauty,1174
429,clothes,626
430,clothes,554
431,beauty,652
432,clothes,552
433,electronics,1039
434,electronics,2205
435,beauty,468
436,electronics,4612
437,home,31
438,food,162
439,clothes,183
440,food,188
441,clothes,381
442,electronics,479
443,clothes,650
444,clothes,163
445,beauty,767
446,electronics,3360
447,home,1230
448,electronics,3057
449,food,87
450,clothes,211
451,home,1651
452,home,1359
453,food,49
454,beauty,1440
455,beauty,750
456,clothes,731
457,beauty,379
458,home,658
459,food,37
460,clothes,796
461,electronics,4992
462,home,1772
463,beauty,86
464,clothes,666
465,food,161
466,clothes,704
467,beauty,233
468,home,318
469,food,195
470,electronics,2249
471,food,86
472,clothes,701
473,electronics,3050
474,home,53
475,food,58
476,clothes,759
477,electronics,3171
478,food,32
479,electronics,694
480,home,927
481,home,370
482,home,1039
483,home,749
484,beauty,788
485,electronics,4227
486,beauty,1353
487,clothes,216
488,home,180
489,electronics,2715
490,electronics,2910
491,food,31
492,electronics,3100
493,clothes,434
494,clothes,799
495,electronics,4781
496,electronics,3068
497,beauty,1276
498,home,1472
499,electronics,3833
500,clothes,671
501,home,351
502,electronics,1129
503,food,57
504,clothes,469
505,beauty,1498
506,beauty,563
507,food,81
508,clothes,148
509,electronics,3518
510,beauty,1145
511,home,344
512,electronics,3255
513,electronics,3802
514,electronics,2712
515,beauty,1003
516,clothes,149
517,electronics,1995
518,clothes,703
519,food,25
520,home,1758
521,electronics,2826
522,home,994
523,home,1862
524,food,28
525,beauty,813
526,clothes,429
527,home,786
528,clothes,506
529,electronics,2456
530,home,982
531,food,62
532,food,149
533,electronics,1538
534,electronics,1002
535,food,143
536,home,1579
537,beauty,485
538,beauty,144
539,home,1706
540,beauty,877
541,beauty,1427
542,home,1202
543,clothes,537
544,food,25
545,home,1878
546,electronics,4413
547,beauty,1078
548,beauty,1407
549,beauty,321
550,electronics,3978
551,clothes,221
552,clothes,247
553,clothes,93
554,home,190
555,home,443
556,clothes,659
557,food,86
558,electronics,1012
559,home,1169
560,home,1160
561,food,75
562,beauty,958
563,electronics,4580
564,home,260
565,home,336
566,clothes,630
567,beauty,1213
568,electronics,1165
569,beauty,226
570,food,142
571,food,110
572,food,103
573,home,1201
574,beauty,988
575,electronics,1710
576,food,108
577,clothes,683
578,beauty,1414
579,home,109
580,home,1851
581,food,181
582,clothes,100
583,home,1915
584,food,100
585,electronics,3067
586,food,84
587,food,130
588,electronics,2167
589,clothes,357
590,home,1615
591,food,73
592,home,1268
593,electronics,1839
594,home,462
595,home,1547
596,home,1585
597,beauty,785
598,electronics,4521
599,clothes,117
600,food,186
601,beauty,846
602,clothes,586
603,beauty,79
604,clothes,247
605,clothes,109
606,clothes,83
607,home,133
608,food,185
609,clothes,330
610,food,123
611,beauty,832
612,electronics,550
613,clothes,431
614,home,1246
615,home,393
616,home,1231
617,beauty,736
618,food,46
619,food,196
620,electronics,2635
621,electronics,3466
622,electronics,1634
623,beauty,458
624,clothes,712
625,clothes,743
626,clothes,325
627,home,1081
628,electronics,372
629,home,1896
630,clothes,712
631,clothes,665
632,electronics,2133
633,food,160
634,food,187
635,food,113
636,home,1774
637,food,122
638,food,60
639,home,648
640,beauty,1297
641,home,1227
642,electronics,360
643,beauty,1376
644,food,148
645,beauty,1267
646,food,81
647,electronics,4246
648,electronics,3054
649,food,168
650,food,75
651,food,172
652,food,53
653,clothes,579
654,clothes,108
655,beauty,847
656,food,179
657,clothes,788
658,electronics,4374
659,food,71
660,home,858
661,home,1538
662,electronics,4986
663,clothes,401
664,clothes,752
665,beauty,1327
666,home,1886
667,food,134
668,food,48
669,beauty,390
670,food,29
671,home,292
672,food,190
673,beauty,394
674,food,172
675,electronics,2120
676,food,62
677,food,112
678,food,100
679,food,154
680,food,123
681,electronics,4154
682,electronics,883
683,home,1851
684,clothes,562
685,electronics,3426
686,beauty,631
687,home,140
688,clothes,190
689,clothes,400
690,home,1196
691,home,323
692,food,188
693,clothes,132
694,home,711
695,clothes,370
696,electronics,338
697,home,590
698,clothes,222
699,beauty,344
700,home,1638
701,electronics,1360
702,beauty,908
703,home,856
704,home,1007
705,home,39
706,electronics,4672
707,clothes,798
708,food,8
709,food,198
710,beauty,410
711,electronics,333
712,clothes,281
713,food,84
714,clothes,155
715,home,1060
716,beauty,646
717,clothes,116
718,electronics,2742
719,food,121
720,beauty,1241
721,beauty,711
722,home,1848
723,clothes,400
724,home,765
725,clothes,218
726,home,69
727,clothes,279
728,clothes,266
729,electronics,4433
730,clothes,176
731,food,187
732,electronics,3373
733,food,141
734,beauty,119
735,beauty,118
736,electronics,461
737,electronics,1248
738,home,939
739,home,283
740,beauty,537
741,home,1467
742,clothes,260
743,electronics,2766
744,home,1385
745,electronics,4562
746,food,164
747,beauty,1455
748,clothes,478
749,electronics,4490
750,beauty,261
751,food,34
752,electronics,4377
753,clothes,673
754,clothes,319
755,beauty,433
756,food,185
757,home,634
758,clothes,90
759,beauty,1036
760,clothes,754
761,home,707
762,clothes,52
763,electronics,1029
764,electronics,4347
765,clothes,142
766,beauty,173
767,electronics,2396
768,clothes,517
769,food,72
770,home,132
771,electronics,1731
772,electronics,2680
773,food,178
774,food,114
775,electronics,1078
776,electronics,379
777,clothes,729
778,clothes,386
779,food,117
780,beauty,569
781,electronics,3352
782,food,51
783,electronics,3583
784,home,2000
785,home,586
786,home,1442
787,home,1668
788,home,1358
789,clothes,165
790,clothes,762
791,electronics,1605
792,electronics,3708
793,beauty,1008
794,beauty,1409
795,home,401
796,beauty,797
797,food,161
798,electronics,1370
799,home,1914
800,home,261
801,home,932
802,electronics,818
803,food,172
804,food,8
805,beauty,1200
806,beauty,478
807,food,137
808,beauty,1429
809,beauty,215
810,home,1385
811,clothes,543
812,food,174
813,home,334
814,beauty,1275
815,electronics,395
816,clothes,567
817,home,1774
818,home,1810
819,clothes,126
820,home,686
821,clothes,388
822,food,17
823,beauty,476
824,beauty,1337
825,home,855
826,clothes,130
827,home,939
828,beauty,937
829,electronics,4383
830,home,677
831,electronics,4374
832,electronics,1140
833,home,874
834,electronics,4864
835,beauty,20
836,electronics,2795
837,beauty,1171
838,clothes,720
839,home,1976
840,food,98
841,electronics,2126
842,home,709
843,beauty,1289
844,beauty,988
845,food,188
846,home,263
847,electronics,2116
848,electronics,3096
849,food,167
850,food,145
851,beauty,785
852,electronics,675
853,clothes,554
854,clothes,784
855,home,249
856,food,161
857,clothes,242
858,electronics,3518
859,clothes,518
860,clothes,783
861,food,32
862,home,125
863,beauty,272
864,home,966
865,beauty,1052
866,clothes,560
867,electronics,4644
868,electronics,4832
869,home,1747
870,beauty,1009
871,beauty,382
872,beauty,375
873,clothes,156
874,home,1376
875,beauty,1261
876,food,134
877,home,887
878,beauty,1438
879,clothes,330
880,home,732
881,food,120
882,clothes,191
883,home,1263
884,beauty,632
885,beauty,662
886,beauty,1315
887,clothes,255
888,clothes,689
889,food,180
890,food,177
891,clothes,777
892,clothes,565
893,beauty,1441
894,food,186
895,electronics,3185
896,beauty,1003
897,beauty,1188
898,home,1410
899,beauty,605
900,home,1685
901,electronics,4582
902,electronics,507
903,home,327
904,electronics,763
905,clothes,323
906,clothes,343
907,food,42
908,electronics,2717
909,clothes,604
910,electronics,3238
911,home,239
912,beauty,1403
913,beauty,479
914,beauty,816
915,clothes,573
916,food,182
917,electronics,3425
918,home,883
919,food,146
920,electronics,406
921,food,56
922,beauty,927
923,clothes,698
924,food,198
925,beauty,1139
926,beauty,422
927,clothes,351
928,home,393
929,electronics,1831
930,clothes,576
931,electronics,3390
932,electronics,3810
933,food,147
934,food,38
935,clothes,648
936,food,6
937,food,124
938,clothes,90
939,clothes,380
940,beauty,124
941,beauty,1375
942,food,130
943,beauty,1146
944,food,23
945,food,139
946,clothes,238
947,beauty,159
948,beauty,346
949,home,1142
950,beauty,846
951,electronics,3162
952,clothes,268
953,food,89
954,food,80
955,clothes,683
956,beauty,992
957,beauty,1349
958,electronics,1239
959,food,119
960,clothes,707
